MAIN_TITLE,Labirintul lui Obama
MAIN_SINGLE,Un singur jucător
MAIN_MULTI,Mai mulți jucători
MAIN_SETTINGS,Setări
MAIN_MODS,Moduri
MAIN_QUIT,Ieși din joc
DEBUG_WARN,Jocul acesta este încă in dezvoltare. Te rog să raportezi orice buguri.
ITEM_FLASHLIGHT,Lanternă
ITEM_TABLET,Tabletă
ITEM_RADIO,Radio
ITEM_BEAR,Capcană
ITEM_NOTHING,Mâini
MODE_NORMAL,Labirit normal
MODE_TUTORIAL,Nivel de tutorial
MODE_FOREST,Labirintul din pădure
MODE_ENDLESS,Nivelul fără sfârșit
MODE_NIGHTMARE,Labirintul de coșmar
MODE_CORN,Labirintul de porumb
EVENT_HALLOWEEN,Halloween '22
EVENT_HALLOWEEN_DESC,Evenimentul de Halloween din 2022 pentru Labirintul lui Obama
REGION_AMERICA,America
REGION_ASIA,Asia
REGION_EUROPE,Europa
MISC_REGION,Regiune
MISC_HOST,Gazdă
MISC_EVERYONE,Toată lumea
MISC_FRIENDSONLY,Doar prieteni
MULTI_CREATELOBBY,Creează o cameră
MISC_RETURNMM,Întoarcete la meniul principal
MULTI_CONNECTED,Conectat
MULTI_FINDLOBBY,Gășete o cameră
MULTI_LOBBY,Cameră
MISC_MAP,Hartă
MISC_GAMEMODE,Mod de joacă
MISC_PUBLICITY,Publicitate
GAME_ITEMS_CURRENT,Obiectele actuale
MULTI_SERVERLIST,Întoarcete la lista de servere
MULTI_STARTGAME,Începe jocul
LVL_SELECT,Selectează un labirint
LVL_PLAY,Înarcă labirint
GAME_HOLD,HOLD
GAME_SECONDS,Seconds
MISC_VC,Voce
DISCLAIMER,Atenție. Acest joc este încă in Early Access
BACK,Înapoi
APPLY,Aplică schimbările
DLC_TITLE,DLC si moduri
DLC_UNLOADED,Conținut neîncărcat
DLC_LOADED,Conținut încărcat
DLC_PLACEHOLDER_DESC,Nu te îngrijora, odată ce ai selectat un mod îi vei vedea descrierea aici.
MISC_AUTHOR,Autor 
